PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
2392;"Auditorio al aire libre Berlín";"";"";"";" Metro: Concha Espina (línea 9)  Bus: 7, 16, 19, 29, 43, 51, 52, 7, 120 ";"  Mantenimiento : competencia de la Junta de Distrito de Chamartín ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=34137b503a71c010VgnVCM1000000b205a0aRCRD";"SAN ERNESTO";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28002";"CIUDAD JARDIN";"CHAMARTIN";"442705";"4478046";"40.44921920243481";"-3.676961467422985";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2395;"Auditorio al aire libre. Centro Cultural el Pozo";"";"";"";"Bus: 24 , 102";"  Mantenimiento :   competencia de la Junta de Distrito de Puente de Vallecas ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8cd27b503a71c010VgnVCM1000000b205a0aRCRD";"ANDALUCES DEL POZO";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28053";"ENTREVIAS";"PUENTE DE VALLECAS";"444014";"4469470";"40.37205115069376";"-3.6607696928316744";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2396;"Auditorio al aire libre. Entrevías";"";"";"";"Bus: 111, 102";"  Mantenimiento : competencia de la Junta de Distrito de Puente de Vallecas ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1fe27b503a71c010VgnVCM1000000b205a0aRCRD";"SUR";"RONDA";"V";"8";"";"";"";"";"MADRID";"MADRID";"28053";"ENTREVIAS";"PUENTE DE VALLECAS";"443119";"4469620";"40.37253969509114";"-3.6698091602059613";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
122296;"Auditorio al aire libre. Jardín Campo del Toro";"";"";"";" Metro: Miguel Hernández (línea 1)  Bus: 54, 144 ";"  Mantenimiento : competencia de la Junta de Distrito de Puente de Vallecas ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7d03cbf06c81c010VgnVCM1000000b205a0aRCRD";"RAFAEL ALBERTI";"AVENIDA";"V";"9";"";"";"";"";"MADRID";"MADRID";"28038";"PALOMERAS SURESTE";"PUENTE DE VALLECAS";"445976";"4471586";"40.391243183343065";"-3.6378399212215826";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
122325;"Auditorio al aire libre. Parque Alcalde Carlos Arias";"";"";"";"Bus: 25, 121, 138 ";"  Mantenimiento : competencia de la Junta de Distrito de Latina  ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0023cbf06c81c010VgnVCM1000000b205a0aRCRD";"ILLESCAS";"CALLE";"V";"149";"";"";"";"";"MADRID";"MADRID";"28047";"ALUCHE";"LATINA";"435664";"4471826";"40.39266219561535";"-3.759357093405809";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2393;"Auditorio al aire libre. Parque Cerro Almodóvar";"";"";"";" Metro: Laguna (línea 6)  Cercanías: Laguna (línea C5)  Bus: 25, 31, 119, 55   ";"  Mantenimiento : competencia de la Junta Municipal de Distrito de Latina ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=eb437b503a71c010VgnVCM1000000b205a0aRCRD";"MARCELINO CASTILLO";"CALLE";"V";"29";"";"";"";"";"MADRID";"MADRID";"28047";"ALUCHE";"LATINA";"436909";"4471985";"40.393928614376";"-3.744713323980896";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2399;"Auditorio al aire libre. Parque de Canillejas";"";"";"Toma de luz y sonido";"Bus: 28 , 48";"  Para más información : Unidad de Servicios Culturales y Participación Ciudadana de la Junta Municipal de San Blas   Actividades: actuaciones en las Fiestas de San Isidro y del Distrito, entrega de trofeos deportivos, etc. También lo utilizan para distintas actividades colectivas y asociaciones del distrito.  ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=59337b503a71c010VgnVCM1000000b205a0aRCRD";"NECTAR";"CALLE";"V";"32";"";"";"";"";"MADRID";"MADRID";"28022";"CANILLEJAS";"SAN BLAS-CANILLEJAS";"448278";"4477271";"40.4425220202845";"-3.6112982716665343";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
122295;"Auditorio al aire libre. Parque de La Bombilla";"";"";"";"Bus: 41 , 46 , 75";" Actividades: cine de verano ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9233cbf06c81c010VgnVCM1000000b205a0aRCRD";"SAN ANTONIO DE LA FLORIDA";"GLORIETA";"V";"9";"";"";"";"";"MADRID";"MADRID";"28008";"CASA DE CAMPO";"MONCLOA-ARAVACA";"438527";"4475507";"40.42603886067938";"-3.7259816852120773";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2387;"Auditorio al aire libre. Parque de la Vaguada";"";"";"Templete de Música";" Metro: Peña Grande (línea 7), Barrio del Pilar (línea 9)  Bus: 49 , 67 , 83 , 124 , 128 , 132 , 133 , 137 ";"  Mantenimiento :   Área   de Gobierno de Medio Ambiente y Movilidad ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7e537b503a71c010VgnVCM1000000b205a0aRCRD";"VAGUADA";"PASEO";"V";"13";"";"";"";"Avenida de Betanzos con Paseo de la Vaguada";"MADRID";"MADRID";"28029";"EL PILAR";"FUENCARRAL-EL PARDO";"439821";"4481504";"40.48016602497203";"-3.7112978051427574";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2398;"Auditorio al aire libre. Parque de la Vicalvarada";"";"";"";"Bus: 4, 100, 106, 130";"Para más información: Junta Municipal de Vicálvaro ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=01737b503a71c010VgnVCM1000000b205a0aRCRD";"VILLABLANCA";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28032";"AMBROZ";"VICALVARO";"448471";"4473573";"40.40930182229157";"-3.608605091516184";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2394;"Auditorio al aire libre. Parque de las Cruces";"";"";"";" Metro: Aluche (línea 5)  Bus: 121, 131, 139, 155, 34  Cercanías: Aluche (línea C5) ";" Situado junto al estanque del parque   Mantenimiento : competencia de la Junta de Distrito de Latina ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=93837b503a71c010VgnVCM1000000b205a0aRCRD";"POBLADOS";"AVENIDA";"V";"68";"";"";"";"Frente al nº 68 de la Avenida de los Poblados";"MADRID";"MADRID";"28044";"LAS AGUILAS";"LATINA";"435643";"4470804";"40.38346299017235";"-3.759501184000619";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
52514;"Auditorio al aire libre. Parque de Olof Palme";"";"";"";" Metro: Plaza Elíptica (líneas 6, 11)  Bus: 6, 47, 60, 78, 81, 116, 247  ";"  Mantenimiento:  competencia del Área de Gobierno de Medio Ambiente y Movilidad ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1185946be351c010VgnVCM2000000c205a0aRCRD";"CERECINOS";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28026";"ZOFIO";"USERA";"439636";"4470909";"40.38439900273861";"-3.7129519968429445";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
